N; Data type; Avg slope; StdDe Time; Mean Time; Cov Time 
1000; INT8;19,344144;0;0,000005;2,156259
10000; INT8;20,219322;0,000005;0,000046;11,509196
100000; INT8;20,303121;0,000033;0,000427;7,641287
1000000; INT8;20,283952;0,00021;0,004246;4,951825
10000000; INT8;20,316131;0,000867;0,041863;2,070939
100000000; INT8;20,33067;0,015874;0,434042;3,657194
1000; INT16;5443,699299;0;0,000005;7,262744
10000; INT16;5444,779518;0,000004;0,000045;8,968211
100000; INT16;5436,468483;0,000011;0,000404;2,809394
1000000; INT16;5459,882883;0,000067;0,004222;1,589665
10000000; INT16;5459,68784;0,00079;0,042203;1,872319
100000000; INT16;5459,873138;0,007259;0,433799;1,673423
1000; INT32;372963352;0,000001;0,000005;11,36286
10000; INT32;355378877,2;0,000001;0,000045;2,561353
100000; INT32;358809778,6;0,000054;0,000431;12,526062
1000000; INT32;357587225,5;0,000133;0,004294;3,10256
10000000; INT32;357785049,9;0,000531;0,042591;1,245878
100000000; INT32;357925259,4;0,014941;0,442046;3,379891
1000; INT64;-2,40702E+15;0;0,000005;9,230213
10000; INT64;-2,09534E+14;0,000024;0,000054;44,979987
100000; INT64;3,38135E+12;0,000099;0,000548;18,12394
1000000; INT64;1,65154E+12;0,000123;0,00427;2,88826
10000000; INT64;-6690203555;0,000267;0,043808;0,609275
100000000; INT64;-26829356068;0,015811;0,447626;3,532257
