N; Data type; Epoch; Timing
1000000; INT16; 0; 0,099592
1000000; INT16; 1; 0,082488
1000000; INT16; 2; 0,081797
1000000; INT16; 3; 0,081596
1000000; INT16; 4; 0,081380
1000000; INT16; 5; 0,082122
1000000; INT16; 6; 0,082195
1000000; INT16; 7; 0,080892
1000000; INT16; 8; 0,081148
1000000; INT16; 9; 0,129605
1000000; INT32; 0; 0,104132
1000000; INT32; 1; 0,101951
1000000; INT32; 2; 0,102568
1000000; INT32; 3; 0,104553
1000000; INT32; 4; 0,103462
1000000; INT32; 5; 0,102778
1000000; INT32; 6; 0,105372
1000000; INT32; 7; 0,103585
1000000; INT32; 8; 0,107008
1000000; INT32; 9; 0,106934
1000000; INT64; 0; 0,103834
1000000; INT64; 1; 0,104802
1000000; INT64; 2; 0,104864
1000000; INT64; 3; 0,104843
1000000; INT64; 4; 0,103313
1000000; INT64; 5; 0,104100
1000000; INT64; 6; 0,105916
1000000; INT64; 7; 0,106406
1000000; INT64; 8; 0,107233
1000000; INT64; 9; 0,105373
1000000; INT8; 0; 0,038530
1000000; INT8; 1; 0,036883
1000000; INT8; 2; 0,037382
1000000; INT8; 3; 0,037214
1000000; INT8; 4; 0,037143
1000000; INT8; 5; 0,036493
1000000; INT8; 6; 0,039415
1000000; INT8; 7; 0,040390
1000000; INT8; 8; 0,090780
1000000; INT8; 9; 0,041239
10000000; INT8; 0; 0,375035
10000000; INT8; 1; 0,374730
10000000; INT8; 2; 0,373736
10000000; INT8; 3; 0,375551
10000000; INT8; 4; 0,378055
10000000; INT8; 5; 0,386787
10000000; INT8; 6; 0,401849
10000000; INT8; 7; 0,419960
10000000; INT8; 8; 0,422772
10000000; INT8; 9; 0,387722
10000000; INT16; 0; 0,822567
10000000; INT16; 1; 0,785814
10000000; INT16; 2; 0,789556
10000000; INT16; 3; 0,846219
10000000; INT16; 4; 0,791507
10000000; INT16; 5; 0,801561
10000000; INT16; 6; 0,781912
10000000; INT16; 7; 0,824324
10000000; INT16; 8; 0,795175
10000000; INT16; 9; 0,808996
10000000; INT32; 0; 1,241730
10000000; INT32; 1; 1,202951
10000000; INT32; 2; 1,249090
10000000; INT32; 3; 1,194838
10000000; INT32; 4; 1,301562
10000000; INT32; 5; 1,226509
10000000; INT32; 6; 1,178770
10000000; INT32; 7; 1,199694
10000000; INT32; 8; 1,304904
10000000; INT32; 9; 1,240543
10000000; INT64; 0; 1,213253
10000000; INT64; 1; 1,189343
10000000; INT64; 2; 1,251575
10000000; INT64; 3; 1,215440
10000000; INT64; 4; 1,187798
10000000; INT64; 5; 1,212666
10000000; INT64; 6; 1,196301
10000000; INT64; 7; 1,398335
10000000; INT64; 8; 1,215695
10000000; INT64; 9; 1,188499
100000000; INT8; 0; 3,848280
100000000; INT8; 1; 3,625967
100000000; INT8; 2; 3,790092
100000000; INT8; 3; 3,564850
100000000; INT8; 4; 3,620222
100000000; INT8; 5; 3,600009
100000000; INT8; 6; 3,694423
100000000; INT8; 7; 3,887338
100000000; INT8; 8; 3,956476
100000000; INT8; 9; 3,647861
100000000; INT16; 0; 8,292971
100000000; INT16; 1; 7,919586
100000000; INT16; 2; 7,793301
100000000; INT16; 3; 7,732814
100000000; INT16; 4; 7,763338
100000000; INT16; 5; 7,783299
100000000; INT16; 6; 8,020404
100000000; INT16; 7; 7,860509
100000000; INT16; 8; 7,756742
100000000; INT16; 9; 7,910582
100000000; INT32; 0; 13,557875
100000000; INT32; 1; 13,765000
100000000; INT32; 2; 13,772445
100000000; INT32; 3; 13,600751
100000000; INT32; 4; 14,579505
100000000; INT32; 5; 14,581447
100000000; INT32; 6; 13,687943
100000000; INT32; 7; 13,764280
100000000; INT32; 8; 14,457617
100000000; INT32; 9; 13,685875
100000000; INT64; 0; 13,793007
100000000; INT64; 1; 13,716191
100000000; INT64; 2; 13,535517
100000000; INT64; 3; 13,821648
100000000; INT64; 4; 14,503797
100000000; INT64; 5; 14,111727
100000000; INT64; 6; 13,764017
100000000; INT64; 7; 13,748418
100000000; INT64; 8; 14,231530
100000000; INT64; 9; 13,832490
1000; INT64; 0; 0,000053
1000; INT64; 1; 0,000055
1000; INT64; 2; 0,000053
1000; INT64; 3; 0,000054
1000; INT64; 4; 0,000053
1000; INT64; 5; 0,000054
1000; INT64; 6; 0,000053
1000; INT64; 7; 0,000052
1000; INT64; 8; 0,000052
1000; INT64; 9; 0,000052
1000; INT8; 0; 0,000048
1000; INT8; 1; 0,000047
1000; INT8; 2; 0,000047
1000; INT8; 3; 0,000045
1000; INT8; 4; 0,000046
1000; INT8; 5; 0,000045
1000; INT8; 6; 0,000044
1000; INT8; 7; 0,000045
1000; INT8; 8; 0,000045
1000; INT8; 9; 0,000045
1000; INT16; 0; 0,000054
1000; INT16; 1; 0,000054
1000; INT16; 2; 0,000054
1000; INT16; 3; 0,000053
1000; INT16; 4; 0,000054
1000; INT16; 5; 0,000051
1000; INT16; 6; 0,000051
1000; INT16; 7; 0,000056
1000; INT16; 8; 0,000053
1000; INT16; 9; 0,000053
1000; INT32; 0; 0,000055
1000; INT32; 1; 0,000054
1000; INT32; 2; 0,000053
1000; INT32; 3; 0,000053
1000; INT32; 4; 0,000053
1000; INT32; 5; 0,000053
1000; INT32; 6; 0,000051
1000; INT32; 7; 0,000052
1000; INT32; 8; 0,000052
1000; INT32; 9; 0,000053
10000; INT16; 0; 0,000690
10000; INT16; 1; 0,000689
10000; INT16; 2; 0,000710
10000; INT16; 3; 0,000696
10000; INT16; 4; 0,000881
10000; INT16; 5; 0,000745
10000; INT16; 6; 0,000683
10000; INT16; 7; 0,000683
10000; INT16; 8; 0,000675
10000; INT16; 9; 0,000684
10000; INT32; 0; 0,000693
10000; INT32; 1; 0,000685
10000; INT32; 2; 0,000779
10000; INT32; 3; 0,000686
10000; INT32; 4; 0,000715
10000; INT32; 5; 0,000703
10000; INT32; 6; 0,000691
10000; INT32; 7; 0,000688
10000; INT32; 8; 0,000679
10000; INT32; 9; 0,000682
10000; INT64; 0; 0,000693
10000; INT64; 1; 0,000686
10000; INT64; 2; 0,000689
10000; INT64; 3; 0,000707
10000; INT64; 4; 0,000681
10000; INT64; 5; 0,000679
10000; INT64; 6; 0,000680
10000; INT64; 7; 0,000678
10000; INT64; 8; 0,000676
10000; INT64; 9; 0,000699
10000; INT8; 0; 0,000392
10000; INT8; 1; 0,000396
10000; INT8; 2; 0,000397
10000; INT8; 3; 0,000392
10000; INT8; 4; 0,000393
10000; INT8; 5; 0,000394
10000; INT8; 6; 0,000392
10000; INT8; 7; 0,000379
10000; INT8; 8; 0,000386
10000; INT8; 9; 0,000382
100000; INT16; 0; 0,008305
100000; INT16; 1; 0,008250
100000; INT16; 2; 0,008332
100000; INT16; 3; 0,008351
100000; INT16; 4; 0,008211
100000; INT16; 5; 0,008213
100000; INT16; 6; 0,008265
100000; INT16; 7; 0,008195
100000; INT16; 8; 0,008268
100000; INT16; 9; 0,008373
100000; INT32; 0; 0,008438
100000; INT32; 1; 0,008513
100000; INT32; 2; 0,008504
