N; Data type; StdDe Time; Mean Time; Cov Time 
1000; INT8;0,00001;0,000125;7,882897
10000; INT8;0,000054;0,000733;7,405241
100000; INT8;0,000134;0,003641;3,671216
1000000; INT8;0,00162;0,036268;4,465466
10000000; INT8;0,007713;0,354046;2,178611
100000000; INT8;0,089425;3,610588;2,476755
1000000000; INT8;0,327093;35,651803;0,917465
1000; INT16;0,000012;0,000137;8,434761
10000; INT16;0,000113;0,00107;10,581684
100000; INT16;0,000264;0,007885;3,34358
1000000; INT16;0,015549;0,092589;16,793705
10000000; INT16;0,027738;0,765084;3,625435
100000000; INT16;0,098613;7,757851;1,271143
1000000000; INT16;0,657986;75,331927;0,873448
1000; INT32;0,000003;0,000123;2,272021
10000; INT32;0,000046;0,000856;5,377977
100000; INT32;0,000251;0,008481;2,965122
1000000; INT32;0,011271;0,10358;10,881662
10000000; INT32;0,032408;1,178552;2,749802
100000000; INT32;0,260907;13,450594;1,939742
1000000000; INT32;1,115546;150,347412;0,741979
1000; INT64;0,000003;0,000123;2,062159
10000; INT64;0,000027;0,000746;3,612457
100000; INT64;0,000308;0,008413;3,659816
1000000; INT64;0,002239;0,09793;2,286415
10000000; INT64;0,009296;1,175237;0,790957
100000000; INT64;0,159319;13,394332;1,189448
1000000000; INT64;5,142225;156,426298;3,287315
