N; Data type; Epoch; Timing
100000; INT64; 0; 0,008644
100000; INT64; 1; 0,008595
100000; INT64; 2; 0,008618
100000; INT64; 3; 0,008735
100000; INT64; 4; 0,008639
100000; INT64; 5; 0,008543
100000; INT64; 6; 0,008391
100000; INT64; 7; 0,007922
100000; INT64; 8; 0,008036
100000; INT64; 9; 0,008002
100000; INT8; 0; 0,003866
100000; INT8; 1; 0,003804
100000; INT8; 2; 0,003739
100000; INT8; 3; 0,003697
100000; INT8; 4; 0,003629
100000; INT8; 5; 0,003474
100000; INT8; 6; 0,003542
100000; INT8; 7; 0,003479
100000; INT8; 8; 0,003560
100000; INT8; 9; 0,003618
100000; INT16; 0; 0,008269
100000; INT16; 1; 0,008171
100000; INT16; 2; 0,008224
100000; INT16; 3; 0,007932
100000; INT16; 4; 0,007964
100000; INT16; 5; 0,007587
100000; INT16; 6; 0,007674
100000; INT16; 7; 0,007734
100000; INT16; 8; 0,007711
100000; INT16; 9; 0,007590
100000; INT32; 0; 0,008399
100000; INT32; 1; 0,008073
100000; INT32; 2; 0,008155
100000; INT32; 3; 0,008590
100000; INT32; 4; 0,008385
100000; INT32; 5; 0,008361
100000; INT32; 6; 0,008876
100000; INT32; 7; 0,008681
100000; INT32; 8; 0,008605
100000; INT32; 9; 0,008689
1000000; INT64; 0; 0,095746
1000000; INT64; 1; 0,098906
1000000; INT64; 2; 0,100152
1000000; INT64; 3; 0,094451
1000000; INT64; 4; 0,095884
1000000; INT64; 5; 0,096181
1000000; INT64; 6; 0,100127
1000000; INT64; 7; 0,100518
1000000; INT64; 8; 0,097551
1000000; INT64; 9; 0,099785
1000000; INT8; 0; 0,035862
1000000; INT8; 1; 0,036598
1000000; INT8; 2; 0,033809
1000000; INT8; 3; 0,034141
1000000; INT8; 4; 0,036314
1000000; INT8; 5; 0,036696
1000000; INT8; 6; 0,035564
1000000; INT8; 7; 0,037362
1000000; INT8; 8; 0,036813
1000000; INT8; 9; 0,039522
1000000; INT16; 0; 0,087368
1000000; INT16; 1; 0,087529
1000000; INT16; 2; 0,097965
1000000; INT16; 3; 0,108511
1000000; INT16; 4; 0,112052
1000000; INT16; 5; 0,118225
1000000; INT16; 6; 0,077294
1000000; INT16; 7; 0,078134
1000000; INT16; 8; 0,082077
1000000; INT16; 9; 0,076736
1000000; INT32; 0; 0,099817
1000000; INT32; 1; 0,097246
1000000; INT32; 2; 0,129307
1000000; INT32; 3; 0,100291
1000000; INT32; 4; 0,118665
1000000; INT32; 5; 0,099469
1000000; INT32; 6; 0,094693
1000000; INT32; 7; 0,100324
1000000; INT32; 8; 0,094834
1000000; INT32; 9; 0,101158
10000000; INT8; 0; 0,350924
10000000; INT8; 1; 0,353604
10000000; INT8; 2; 0,352020
10000000; INT8; 3; 0,353591
10000000; INT8; 4; 0,341410
10000000; INT8; 5; 0,358203
10000000; INT8; 6; 0,358647
10000000; INT8; 7; 0,358685
10000000; INT8; 8; 0,344696
10000000; INT8; 9; 0,368680
10000000; INT16; 0; 0,749830
10000000; INT16; 1; 0,750290
10000000; INT16; 2; 0,754193
10000000; INT16; 3; 0,756564
10000000; INT16; 4; 0,754074
10000000; INT16; 5; 0,754015
10000000; INT16; 6; 0,761412
10000000; INT16; 7; 0,842498
10000000; INT16; 8; 0,760168
10000000; INT16; 9; 0,767795
10000000; INT32; 0; 1,137137
10000000; INT32; 1; 1,151767
10000000; INT32; 2; 1,236006
10000000; INT32; 3; 1,212467
10000000; INT32; 4; 1,157462
10000000; INT32; 5; 1,153290
10000000; INT32; 6; 1,169215
10000000; INT32; 7; 1,211416
10000000; INT32; 8; 1,190996
10000000; INT32; 9; 1,165765
10000000; INT64; 0; 1,169595
10000000; INT64; 1; 1,171289
10000000; INT64; 2; 1,166435
10000000; INT64; 3; 1,169411
10000000; INT64; 4; 1,170471
10000000; INT64; 5; 1,177369
10000000; INT64; 6; 1,174097
10000000; INT64; 7; 1,179947
10000000; INT64; 8; 1,174691
10000000; INT64; 9; 1,199066
100000000; INT8; 0; 3,616469
100000000; INT8; 1; 3,609480
100000000; INT8; 2; 3,574117
100000000; INT8; 3; 3,564106
100000000; INT8; 4; 3,531451
100000000; INT8; 5; 3,698359
100000000; INT8; 6; 3,698151
100000000; INT8; 7; 3,621378
100000000; INT8; 8; 3,748302
100000000; INT8; 9; 3,444063
