N; Data type; StdDe Time; Mean Time; Cov Time 
1000; INT8;0,00001;0,000125;7,882897
10000; INT8;0,000054;0,000733;7,405241
100000; INT8;0,000134;0,003641;3,671216
1000000; INT8;0,00162;0,036268;4,465466
10000000; INT8;0,007713;0,354046;2,178611
100000000; INT8;0,089425;3,610588;2,476755
1000000000; INT8;0,327093;35,651803;0,917465
1000; INT64;0,000003;0,000123;2,062159
10000; INT64;0,000027;0,000746;3,612457
100000; INT64;0,000308;0,008413;3,659816
1000000; INT64;0,002239;0,09793;2,286415
10000000; INT64;0,009296;1,175237;0,790957
100000000; INT64;0,159319;13,394332;1,189448
1000000000; INT64;5,142225;156,426298;3,287315
