N; Data type; Avg slope; Avg Negatives; Avg Positives; StdDe Time; Mean Time; Cov Time 
10000000; INT32; 357785049,929087; 50,003443; 49,996557; 0,000531; 0,042591; 1,245878
10000000; INT64; -6690203555,497516; 49,992742; 50,007258; 0,000267; 0,043808; 0,609275
10000000; INT8; 20,316131; 50,000745; 49,999255; 0,000867; 0,041863; 2,070939
10000000; INT16; 5459,687840; 50,004525; 49,995475; 0,000790; 0,042203; 1,872319
100000000; INT8; 20,330670; 49,999973; 50,000027; 0,015874; 0,434042; 3,657194
100000000; INT16; 5459,873138; 50,000822; 49,999178; 0,007259; 0,433799; 1,673423
100000000; INT32; 357925259,431181; 49,999788; 50,000212; 0,014941; 0,442046; 3,379891
100000000; INT64; -26829356067,989002; 49,999522; 50,000478; 0,015811; 0,447626; 3,532257
1000; INT64; -2407020412837053,500000; 49,720000; 50,280000; 0,000000; 0,000005; 9,230213
1000; INT8; 19,344144; 50,350000; 49,650000; 0,000000; 0,000005; 2,156259
1000; INT16; 5443,699299; 50,590000; 49,410000; 0,000000; 0,000005; 7,262744
1000; INT32; 372963352,024424; 50,750000; 49,250000; 0,000001; 0,000005; 11,362860
10000; INT8; 20,219322; 50,275000; 49,725000; 0,000005; 0,000046; 11,509196
10000; INT16; 5444,779518; 50,100000; 49,900000; 0,000004; 0,000045; 8,968211
10000; INT32; 355378877,193699; 49,874000; 50,126000; 0,000001; 0,000045; 2,561353
10000; INT64; -209533816765386,000000; 49,874000; 50,126000; 0,000024; 0,000054; 44,979987
100000; INT8; 20,303121; 50,047300; 49,952700; 0,000033; 0,000427; 7,641287
100000; INT16; 5436,468483; 49,979200; 50,020800; 0,000011; 0,000404; 2,809394
100000; INT32; 358809778,568148; 50,030200; 49,969800; 0,000054; 0,000431; 12,526062
100000; INT64; 3381352869304,255371; 50,026400; 49,973600; 0,000099; 0,000548; 18,123940
1000000; INT64; 1651542002146,777100; 49,975530; 50,024470; 0,000123; 0,004270; 2,888260
1000000; INT8; 20,283952; 50,009350; 49,990650; 0,000210; 0,004246; 4,951825
1000000; INT16; 5459,882883; 49,977870; 50,022130; 0,000067; 0,004222; 1,589665
1000000; INT32; 357587225,472369; 50,018780; 49,981220; 0,000133; 0,004294; 3,102560
