N; Data type; Epoch; Timing
10000000; INT32; 0; 0,041970
10000000; INT32; 1; 0,042259
10000000; INT32; 2; 0,043205
10000000; INT32; 3; 0,042539
10000000; INT32; 4; 0,042266
10000000; INT32; 5; 0,042382
10000000; INT32; 6; 0,042253
10000000; INT32; 7; 0,043501
10000000; INT32; 8; 0,042263
10000000; INT32; 9; 0,043269
10000000; INT64; 0; 0,044140
10000000; INT64; 1; 0,044252
10000000; INT64; 2; 0,043959
10000000; INT64; 3; 0,043918
10000000; INT64; 4; 0,043447
10000000; INT64; 5; 0,043453
10000000; INT64; 6; 0,043637
10000000; INT64; 7; 0,043814
10000000; INT64; 8; 0,043704
10000000; INT64; 9; 0,043755
10000000; INT8; 0; 0,042896
10000000; INT8; 1; 0,041684
10000000; INT8; 2; 0,040971
10000000; INT8; 3; 0,042923
10000000; INT8; 4; 0,042597
10000000; INT8; 5; 0,042406
10000000; INT8; 6; 0,041123
10000000; INT8; 7; 0,040984
10000000; INT8; 8; 0,040699
10000000; INT8; 9; 0,042350
10000000; INT16; 0; 0,041368
10000000; INT16; 1; 0,041268
10000000; INT16; 2; 0,042936
10000000; INT16; 3; 0,042991
10000000; INT16; 4; 0,041316
10000000; INT16; 5; 0,042855
10000000; INT16; 6; 0,042956
10000000; INT16; 7; 0,042965
10000000; INT16; 8; 0,041694
10000000; INT16; 9; 0,041682
100000000; INT8; 0; 0,426506
100000000; INT8; 1; 0,435161
100000000; INT8; 2; 0,426233
100000000; INT8; 3; 0,426104
100000000; INT8; 4; 0,478480
100000000; INT8; 5; 0,427599
100000000; INT8; 6; 0,428502
100000000; INT8; 7; 0,430899
100000000; INT8; 8; 0,429163
100000000; INT8; 9; 0,431771
100000000; INT16; 0; 0,447960
100000000; INT16; 1; 0,431258
100000000; INT16; 2; 0,431816
100000000; INT16; 3; 0,430295
100000000; INT16; 4; 0,429620
100000000; INT16; 5; 0,434808
100000000; INT16; 6; 0,427044
100000000; INT16; 7; 0,429538
100000000; INT16; 8; 0,446082
100000000; INT16; 9; 0,429566
100000000; INT32; 0; 0,435403
100000000; INT32; 1; 0,479691
100000000; INT32; 2; 0,434317
100000000; INT32; 3; 0,435638
100000000; INT32; 4; 0,433798
100000000; INT32; 5; 0,432637
100000000; INT32; 6; 0,433230
100000000; INT32; 7; 0,434843
100000000; INT32; 8; 0,447326
100000000; INT32; 9; 0,453574
100000000; INT64; 0; 0,483569
100000000; INT64; 1; 0,436965
100000000; INT64; 2; 0,438986
100000000; INT64; 3; 0,443740
100000000; INT64; 4; 0,466812
100000000; INT64; 5; 0,437429
100000000; INT64; 6; 0,438546
100000000; INT64; 7; 0,434724
100000000; INT64; 8; 0,451845
100000000; INT64; 9; 0,443646
1000; INT64; 0; 0,000006
1000; INT64; 1; 0,000006
1000; INT64; 2; 0,000005
1000; INT64; 3; 0,000005
1000; INT64; 4; 0,000005
1000; INT64; 5; 0,000005
1000; INT64; 6; 0,000005
1000; INT64; 7; 0,000005
1000; INT64; 8; 0,000006
1000; INT64; 9; 0,000005
1000; INT8; 0; 0,000005
1000; INT8; 1; 0,000005
1000; INT8; 2; 0,000005
