N; Data type; Avg slope; Avg Negatives; Avg Positives; StdDe Time; Mean Time; Cov Time 
1000; INT8; 0,254254; 0,000000; 0,000000; 0,000006; 0,000087; 7,036539
1000; INT16; 65,497497; 0,000000; 0,000000; 0,000007; 0,000095; 7,771496
1000; INT32; 4290643,321522; 0,000000; 0,000000; 0,000038; 0,000114; 33,076020
1000; INT64; -39701471221486,125000; 0,000000; 0,000000; 0,000008; 0,000142; 5,396918
10000; INT8; 0,025403; 0,000000; 0,000000; 0,000068; 0,000836; 8,150384
10000; INT16; 6,553175; 0,000000; 0,000000; 0,000096; 0,001128; 8,514340
10000; INT32; 429465,393059; 0,000000; 0,000000; 0,000059; 0,000902; 6,521671
10000; INT64; -381143614696,938782; 0,000000; 0,000000; 0,000036; 0,000767; 4,720652
100000; INT16; 0,655343; 0,000000; 0,000000; 0,000311; 0,007924; 3,927847
100000; INT32; 42949,068421; 0,000000; 0,000000; 0,000180; 0,008143; 2,207564
100000; INT64; -3406504678,268058; 0,000000; 0,000000; 0,000114; 0,008265; 1,385199
100000; INT8; 0,002540; 0,000000; 0,000000; 0,000184; 0,003713; 4,945544
1000000; INT8; 0,000254; 0,000000; 0,000000; 0,004388; 0,041410; 10,597124
1000000; INT16; 0,065534; 0,000000; 0,000000; 0,014383; 0,084693; 16,982460
1000000; INT32; 4294,965913; 0,000000; 0,000000; 0,010020; 0,103324; 9,697930
1000000; INT64; -44059053,557254; 0,000000; 0,000000; 0,000837; 0,100080; 0,836653
10000000; INT8; 0,000025; 0,000000; 0,000000; 0,003974; 0,354141; 1,122199
10000000; INT16; 0,006553; 0,000000; 0,000000; 0,005092; 0,765348; 0,665269
10000000; INT32; 429,496696; 0,000000; 0,000000; 0,025216; 1,177546; 2,141363
10000000; INT64; -441516,282307; 0,000000; 0,000000; 0,015287; 1,174788; 1,301261
100000000; INT8; 0,000003; 0,000000; 0,000000; 0,146179; 3,671759; 3,981159
100000000; INT16; 0,000655; 0,000000; 0,000000; 0,064639; 7,593130; 0,851282
100000000; INT32; 42,949673; 0,000000; 0,000000; 0,135157; 13,379484; 1,010182
100000000; INT64; -4075,076845; 0,000000; 0,000000; 0,356102; 13,556914; 2,626717
