N; Data type; Epoch; Timing
1000; INT8; 0; 0,000100
1000; INT8; 1; 0,000094
1000; INT8; 2; 0,000090
1000; INT8; 3; 0,000083
1000; INT8; 4; 0,000083
1000; INT8; 5; 0,000083
1000; INT8; 6; 0,000083
1000; INT8; 7; 0,000083
1000; INT8; 8; 0,000084
1000; INT8; 9; 0,000083
1000; INT16; 0; 0,000103
1000; INT16; 1; 0,000101
1000; INT16; 2; 0,000102
1000; INT16; 3; 0,000101
1000; INT16; 4; 0,000102
1000; INT16; 5; 0,000097
1000; INT16; 6; 0,000087
1000; INT16; 7; 0,000088
1000; INT16; 8; 0,000087
1000; INT16; 9; 0,000086
1000; INT32; 0; 0,000088
1000; INT32; 1; 0,000087
1000; INT32; 2; 0,000086
1000; INT32; 3; 0,000086
1000; INT32; 4; 0,000086
1000; INT32; 5; 0,000085
1000; INT32; 6; 0,000188
1000; INT32; 7; 0,000142
1000; INT32; 8; 0,000145
1000; INT32; 9; 0,000145
1000; INT64; 0; 0,000146
1000; INT64; 1; 0,000147
1000; INT64; 2; 0,000148
1000; INT64; 3; 0,000146
1000; INT64; 4; 0,000144
1000; INT64; 5; 0,000144
1000; INT64; 6; 0,000145
1000; INT64; 7; 0,000143
1000; INT64; 8; 0,000141
1000; INT64; 9; 0,000121
10000; INT8; 0; 0,000908
10000; INT8; 1; 0,000900
10000; INT8; 2; 0,000918
10000; INT8; 3; 0,000911
10000; INT8; 4; 0,000854
10000; INT8; 5; 0,000776
10000; INT8; 6; 0,000756
10000; INT8; 7; 0,000779
10000; INT8; 8; 0,000782
10000; INT8; 9; 0,000775
10000; INT16; 0; 0,001303
10000; INT16; 1; 0,001202
10000; INT16; 2; 0,001184
10000; INT16; 3; 0,001195
10000; INT16; 4; 0,001175
10000; INT16; 5; 0,001080
10000; INT16; 6; 0,001039
10000; INT16; 7; 0,001048
10000; INT16; 8; 0,001042
10000; INT16; 9; 0,001014
10000; INT32; 0; 0,000978
10000; INT32; 1; 0,000970
10000; INT32; 2; 0,000975
10000; INT32; 3; 0,000904
10000; INT32; 4; 0,000916
10000; INT32; 5; 0,000904
10000; INT32; 6; 0,000860
10000; INT32; 7; 0,000852
10000; INT32; 8; 0,000853
10000; INT32; 9; 0,000810
10000; INT64; 0; 0,000812
10000; INT64; 1; 0,000811
10000; INT64; 2; 0,000809
10000; INT64; 3; 0,000791
10000; INT64; 4; 0,000767
10000; INT64; 5; 0,000735
10000; INT64; 6; 0,000739
10000; INT64; 7; 0,000746
10000; INT64; 8; 0,000743
10000; INT64; 9; 0,000715
100000; INT16; 0; 0,007581
100000; INT16; 1; 0,007734
100000; INT16; 2; 0,007888
100000; INT16; 3; 0,007669
100000; INT16; 4; 0,007770
100000; INT16; 5; 0,008146
100000; INT16; 6; 0,008174
100000; INT16; 7; 0,008388
100000; INT16; 8; 0,008334
100000; INT16; 9; 0,007560
100000; INT32; 0; 0,008056
100000; INT32; 1; 0,008206
100000; INT32; 2; 0,008446
100000; INT32; 3; 0,008339
100000; INT32; 4; 0,008101
100000; INT32; 5; 0,008123
100000; INT32; 6; 0,008173
100000; INT32; 7; 0,008133
100000; INT32; 8; 0,007765
100000; INT32; 9; 0,008085
100000; INT64; 0; 0,008267
100000; INT64; 1; 0,008161
100000; INT64; 2; 0,008317
100000; INT64; 3; 0,008301
100000; INT64; 4; 0,008346
100000; INT64; 5; 0,008290
100000; INT64; 6; 0,008299
