Quicksort Imp, N, Time on Avg
Quicksort A, 100000, 0.12059966723124187
Quicksort B, 100000, 0.1273036003112793
Quicksort c, 100000, 0.16209769248962402
Quicksort D, 100000, 0.16263898213704428
Quicksort E, 100000, 0.20579799016316733

Quicksort Imp, N, Time on Avg
Quicksort A, 1000000, 1.6233927408854167
Quicksort B, 1000000, 1.5438559850056965
Quicksort C, 1000000, 2.173969268798828
Quicksort D, 1000000, 1.8314740657806396
Quicksort E, 1000000, 2.6322434743245444

Quicksort Imp, N, Time on Avg
Quicksort A, 10000000, 22.503302256266277
Quicksort B, 10000000, 20.572255611419678
Quicksort C, 10000000, 31.32197364171346
Quicksort D, 10000000, 24.605272213617962
Quicksort E, 10000000, 37.07444707552592


Quicksort original, 100000, 0.12059966723124187
Quicksort mediam of three, 100000, 0.1273036003112793
Quicksort pivot starting from the left, 100000, 0.16209769248962402
Quicksort with stacks, 100000, 0.16263898213704428
Quicksort with stacks and from the left, 100000, 0.20579799016316733
